"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SHASTA","Total","    1535.590927","    1567.861733","    1574.746533","    1555.081471","    1561.778713","    1544.470360","    1548.717065","    1535.858657","    1523.967956","    1526.038584","    1567.041589","    1604.209676","    1616.989444","    1614.285203","    1575.921171","    1724.806589","    1646.322323","    1613.368014","    1523.847931","    1564.419344","    1517.423296","    1531.147068","    1545.436645","    1509.867411","    1541.032720","    1486.385195","    1499.101455","    1569.497297","    1559.671174","    1520.621566","   46805.507110"
"SIERRA","Total","      21.994344","      21.069957","      21.874618","      25.917940","      24.122493","      23.672012","      23.526807","      23.572142","      23.402603","      23.703271","      24.429009","      25.102898","      28.233543","      23.861047","      25.123079","      24.618522","      34.984794","      32.167754","      35.542103","      22.743712","      22.934518","      23.083401","      22.296488","      22.388548","      22.570062","      22.065750","      17.888245","      15.842939","      23.368664","      23.887409","     725.988672"
"SISKIYOU","Total","     495.641195","     495.135053","     508.367638","     492.687584","     494.485866","     485.465765","     500.398866","     486.107233","     499.961822","     501.504736","     517.584491","     541.546935","     563.221473","     514.209522","     509.921849","     518.666036","     509.407720","     501.942088","     482.589356","     456.660164","     461.670783","     432.097285","     450.856727","     523.153340","     459.568480","     447.406109","     456.379116","     460.129633","     457.377559","     463.911027","   14688.055451"
"SOLANO","Total","    3226.597752","    3267.953082","    3217.177908","    3211.443142","    3209.299202","    3216.075906","    3228.341275","    3193.796747","    3123.327644","    3062.213918","    3173.551811","    3175.694933","    3339.530422","    3165.016402","    3119.929745","    3053.479041","    2963.128190","    2857.407969","    2786.769830","    3003.711547","    2961.029944","    2695.884948","    2582.677606","    2584.818623","    2556.839267","    2557.923851","    2529.080236","    2537.302686","    2487.587024","    2640.925459","   88728.516110"
"SONOMA","Total","    2880.398809","    2911.104765","    3005.604032","    2950.663327","    2933.788772","    2938.685159","    2964.663484","    2920.771404","    2898.598591","    2878.901295","    2853.859824","    2942.254312","    2917.259984","    2863.305583","    2749.139452","    2862.907891","    2753.463044","    2768.339050","    2634.869004","    2851.840723","    2739.026734","    2579.861923","    2544.533434","    2458.186794","    2356.439200","    2322.685965","    2312.159188","    2262.892118","    2210.253469","    2227.798222","   81494.255552"
"STANISLAUS","Total","    4750.062635","    4805.516459","    4865.514147","    4751.299871","    4751.572054","    4744.005295","    4670.939129","    4651.737972","    4466.040625","    4415.501333","    4562.838857","    4677.363949","    4659.221289","    4761.351249","    4627.743063","    4497.889183","    4499.548657","    4358.474281","    4134.094504","    4244.133970","    4080.812932","    3993.592931","    3839.909898","    3778.333732","    3577.477421","    3539.102124","    3406.758180","    3561.054646","    3604.274334","    3413.683605","  128689.848325"
"SUTTER","Total","     632.089399","     632.151140","     641.867213","     628.180933","     644.876349","     647.985377","     647.158762","     635.237428","     612.659573","     599.670670","     625.342746","     628.701927","     620.933806","     626.934509","     568.886467","     564.229876","     541.626126","     538.535160","     520.832988","     540.658491","     522.881712","     496.037019","     502.754816","     492.259516","     468.815044","     472.759586","     456.858867","     453.614728","     436.397429","     429.461952","   16830.399609"
"TEHAMA","Total","     507.736248","     505.914397","     517.028266","     495.869510","     495.540161","     492.321952","     506.697480","     505.597910","     492.682687","     485.694203","     501.835032","     509.001445","     508.595236","     476.806837","     452.299401","     462.696919","     444.664131","     403.902710","     492.161914","     487.963951","     484.238028","     457.554990","     464.118562","     453.241319","     436.337209","     430.392864","     417.971760","     416.302683","     410.171236","     419.991809","   14135.330850"
"TRINITY","Total","     135.048361","     130.471273","     137.271980","     128.554547","     111.146524","     117.679321","     119.380785","     111.922945","     121.054947","      88.635496","      93.613941","      12.384568","      11.402177","      71.330943","      72.081942","      15.351070","      23.553512","      23.034197","       9.762866","      10.348639","      10.374431","       9.706855","      10.202311","      10.216828","      10.048588","      10.112048","      23.705185","      35.354918","      36.874063","      36.393096","    1737.018357"
"TULARE","Total","    4162.198178","    4430.863360","    4238.984890","    4360.484536","    4475.250081","    4462.841587","    4286.393968","    4133.518176","    3717.441038","    3787.422998","    3968.440677","    3913.151242","    3770.502511","    3690.494610","    3361.242753","    3337.143694","    3254.886917","    3466.526607","    3296.780728","    3345.251455","    3197.388192","    2604.626362","    2728.979352","    2653.713470","    2479.983709","    2581.896404","    2423.992211","    2596.442000","    2528.667805","    2576.692790","  103832.202301"
"TUOLUMNE","Total","     452.644240","     453.499795","     460.439815","     447.462212","     441.686314","     440.248371","     460.722738","     453.997729","     445.692216","     434.843898","     446.894557","     428.090608","     433.708347","     722.513809","     474.996429","     440.661704","     412.433818","     427.098345","     417.392745","     454.589300","     435.987509","     425.662893","     380.866502","     353.895899","     398.475991","     424.178536","     455.243558","     434.891116","     434.914659","     431.403327","   13325.136980"
"VENTURA","Total","    5344.035137","    5446.199174","    5508.925934","    5455.495304","    5591.098091","    5486.039211","    5397.690876","    5521.915578","    5470.561074","    5451.506813","    5586.833550","    5917.862425","    5696.216071","    5690.689975","    5648.793331","    5576.989633","    5339.512028","    5578.333518","    5164.889956","    5872.704653","    5370.725405","    4992.561183","    4868.185675","    4661.855835","    4555.679880","    4527.004183","    4440.003169","    4400.914947","    4411.269730","    4490.108507","  157464.600846"
"YOLO","Total","    1720.746289","    1712.517930","    1739.580720","    1699.445717","    1698.125619","    1735.716026","    1699.953189","    1673.613365","    1647.305245","    1597.732272","    1679.017288","    1620.071139","    1629.324571","    1712.754954","    1697.955266","    1526.621217","    1420.652115","    1514.416968","    1352.662568","    1457.607394","    1563.313299","    1322.734405","    1292.596253","    1286.933847","    1217.715606","    1219.551720","    1188.631157","    1146.895251","    1138.348147","    1141.738534","   45054.278071"
"YUBA","Total","     511.726005","     503.072195","     504.677924","     481.140102","     478.058898","     487.970399","     489.022276","     481.124653","     471.182377","     465.186884","     512.282472","     463.305935","     475.158781","     533.119708","     518.095730","     462.534735","     364.933160","     611.633687","     497.273348","     505.536963","     613.997052","     442.704047","     437.852811","     454.685259","     423.644993","     445.397045","     430.521181","     464.585537","     463.490868","     448.122147","   14442.037172"
